host,percentile,expenseId,valueInCents
europe,0.05,rvedj9wr-oz3a56d3-adop7blg-8x4m0ykn,936
europe,0.1,rmvrwng4-kj03dpbb-57zpz57o-yl9e8xba,1496
europe,0.25,rvedj9wr-oz3a56dv-m5g67blg-8x4m0ykn,3600
europe,0.5,bvrgbk35-7l4x96e9-vxkqomew-a0jdyzn8,9622
europe,0.75,lk9mbw7y-48r3zq3n-5wn60ej5-lavnodgx,26600
europe,0.9,nmlo94zn-7x08dpor-gnepewga-3vjbrky5,73061
europe,0.95,4rxg0j35-lzkwm6va-8ab6voe9-8n47daby,136500
europe,0.96,ov349mrw-gz75lpy7-klnpa08d-jeybknox,159030
europe,0.97,eeng0kzd-yvor4pz7-9moqbma8-37xlw95j,199800
europe,0.98,4rxg0j35-lzkwm6vw-kkrqvoe9-8n47daby,259358
europe,0.99,zzaxon79-3jy8gpl0-lljpbrkd-emwl5v04,504000
europe,max,0n4gx0br-ov5m96ny-vrgpd8lk-3ey7jzwa,4511823
europe,min,7mywxoz3-409rl6kl-9jyqvenb-dj7gk85a,63
foundation,0.05,k3z8arxv-eymko60r-57m6gl5n-bj9w704d,2000
foundation,0.1,88rzownx-l9e50pxr-velpymvb-dgk7j43a,3500
foundation,0.25,x8k03rey-d5agmq5b-bekqlbwo-z7j4nxv9,7563
foundation,0.5,bvrgbk35-7l4x96ez-mg46omew-a0jdyzn8,26622
foundation,0.75,x8k03rey-d5agmq5z-zloqlbwo-z7j4nxv9,50000
foundation,0.9,dgm9bnk8-0437xqrb-8k56vzeo-ljdayw5r,100000
foundation,0.95,03k0exgz-nm8yj645-mojq5wao-9r7b4dlv,157500
foundation,0.96,4rxg0j35-lzkwm6va-rwr6voe9-8n47daby,200000
foundation,0.97,5ax8emk7-lnw54q74-yymqgyvj-0o93zdrb,278000
foundation,0.98,vjrkx5lm-nv904qjy-omnq8bwa-7zdygoe3,444737
foundation,0.99,03k0exgz-nm8yj64b-0zmq5wao-9r7b4dlv,714876
foundation,max,4rxg0j35-lzkwm6vx-3lmpvoe9-8n47daby,39042110
foundation,min,rvedj9wr-oz3a56dk-zdaq7blg-8x4m0ykn,1
opensource,0.05,dgm9bnk8-0437xqr8-j356vzeo-ljdayw5r,784
opensource,0.1,vjrkx5lm-nv904qjd-4ozq8bwa-7zdygoe3,1282
opensource,0.25,4rxg0j35-lzkwm6va-o8b6voe9-8n47daby,4129
opensource,0.5,4rxg0j35-lzkwm6v5-a0xqvoe9-8n47daby,15662
opensource,0.75,88rzownx-l9e50pxy-yvj6ymvb-dgk7j43a,76400
opensource,0.9,eejoxl3a-z45w9paa-lwmpy870-mgkbrvdn,271875
opensource,0.95,nmlo94zn-7x08dpog-k36ewga3-vjbrky5m,560000
opensource,0.96,lk9mbw7y-48r3zq3y-zlp0ej5l-avnodgx7,640806
opensource,0.97,k3z8arxv-eymko60w-rjbpgl5n-bj9w704d,750000
opensource,0.98,53kzxy4v-07wlr6md-kvb6mj9n-o8agdbe5,1000000
opensource,0.99,88rzownx-l9e50pxa-ra36ymvb-dgk7j43a,1321256
opensource,max,0n4gx0br-ov5m96n5-5l86d8lk-3ey7jzwa,9000000
opensource,min,53kzxy4v-07wlr6mv-voy6mj9n-o8agdbe5,1
